\textexclamdown,¡
\ding{239},➯
\ding{241},➱
\ding{242},➲
\ding{243},➳
\ding{244},➴
\ding{245},➵
\ding{246},➶
\ding{247},➷
\ding{248},➸
\ding{249},➹
\ding{250},➺
\ding{251},➻
\ding{252},➼
\ding{253},➽
\ding{254},➾
\langle,⟨
\rangle,⟩
\longleftarrow,⟵
\longrightarrow,⟶
\longleftrightarrow,⟷
\Longleftarrow,⟸
\Longrightarrow,⟹
\Longleftrightarrow,⟺
\longmapsto,⟼
\sim\joinrel\leadsto,⟿
\ElsevierGlyph{E212},⤅
\UpArrowBar,⤒
\DownArrowBar,⤓
\ElsevierGlyph{E20C},⤣
\ElsevierGlyph{E20D},⤤
\ElsevierGlyph{E20B},⤥
\ElsevierGlyph{E20A},⤦
\ElsevierGlyph{E211},⤧
\ElsevierGlyph{E20E},⤨
\ElsevierGlyph{E20F},⤩
\ElsevierGlyph{E210},⤪
\ElsevierGlyph{E21C},⤳
\ElsevierGlyph{E21A},⤶
\ElsevierGlyph{E219},⤷
\Elolarr,⥀
\Elorarr,⥁
\ElzRlarr,⥂
\ElzrLarr,⥄
\Elzrarrx,⥇
\LeftRightVector,⥎
\RightUpDownVector,⥏
\DownLeftRightVector,⥐
\LeftUpDownVector,⥑
\LeftVectorBar,⥒
\RightVectorBar,⥓
\RightUpVectorBar,⥔
\RightDownVectorBar,⥕
\DownLeftVectorBar,⥖
\DownRightVectorBar,⥗
\LeftUpVectorBar,⥘
\LeftDownVectorBar,⥙
\LeftTeeVector,⥚
\RightTeeVector,⥛
\RightUpTeeVector,⥜
\RightDownTeeVector,⥝
\DownLeftTeeVector,⥞
\DownRightTeeVector,⥟
\LeftUpTeeVector,⥠
\LeftDownTeeVector,⥡
\UpEquilibrium,⥮
\ReverseUpEquilibrium,⥯
\RoundImplies,⥰
\ElsevierGlyph{E214},⥼
